"","text"
"1878","   replacement    easy  set     reauthorize  smart items      hub  installation  easy  instructions  "
"1879"," cool device    ton  stuff fun games  jeopardy     set  smart bulbs  light switches    ge  stuff  corresponds   particular hub      runs    store  exchanges"
"1880","ive  waiting  prime day  purchase  echo plus   im enjoying learning  alexa      sonos    echo dot    makings    nice  wellintegrated smart home love "
"1881"," havent          family  enjoying  alexa questions"
"1882","     echo device  am   disappointed      documentationinstructions     functions   device   purchased becausse   sound quality   found    bluetooth capabilities  night  accident       manual  details    functionality   device           found"
"1883"," echoplus    extension   echo dots   home  am  little disappointed  alexa      information requests  google    start  home automation    impressive"
"1884","   alexa    biggest reason  bought    youtube  apparently youtube stopped supporting          stars   youtubes fault       using  cell phone   blue tooth connected  hear    takes  voice activate purpose    speaker  amazing  hear  youtube watch  playlist"
"1885","awesome loving alexa"
"1886"," habla espanol"
"1887","love  music  stories"
"1888","  fantastic"
"1889","      time  setup   skills   simply         music  flash briefing daily  satisfied      alexa app   kindle hd"
"1890","wish       lightbulb  otherwise   fast delivery   enjoy using "
"1891"," havent learn   echo       pleased"
"1892","love "
"1893","  receive  cpr classical station   soundwhat      learning curve   mistakes"
"1894","sounds      useful overall     frustrating   doesnt respond   forget  correct command  alexa    living  lights  oops  mean alexa    family  lights    realized  call  couch  sofa  times  unfortunately  alexa  confused   changing names    sit"
"1895","   broke   cant  help fixing  replacing "
"1896","im  unable  connect  devices       built  hub  bought  bridge  connect  devices thinking    sync    devices    discovered via  echo plus    looking forward   feature  able  play music check  weather etc  fine"
"1897","sounds      hub "
"1898","  expected   responds  fast   commands    easy  connect via  amazon app   bought  philipshue light bulb            lamp  tell alexa    device   connected   lamp       voice commands"
"1899","sound  "
"1900","        conversation   person  instantaneous response       catches  command   youre     simply  amazing"
"1901","  havent  advantage     echos features     bothers   starts talking    havent    close   wake  word  echo    change  alexa due   conflict   device"
"1902"," echo plus   straight forward  easy     plays  sounding music    lots      learning           "
"1903","      weeks     children    alexa      family"
"1904","terrible stopped    day"
"1905"," sound   echo dot simple  set     minutes"
"1906","nice toy   "
"1907","   speak  spanishi bought    grandmother     talk   im  aroundno spanish"
"1908","love   cool    "
"1909"," product"
"1910","    discovery   soon   evaluate  looking forward  learning  using "
"1911","    echo   excited    device   sound   dot   hub  control  hue bulbswhat  didnt realize   wasnt  communicated      cant  hue bulbs    potential   device         lights  set      preset colors    update  bulbs    firmare    security concern  medo  buy       featured hub    iot devices          update   standalone hub  makes  hub inside  device redundant  pointlessi  love  echo   zero complaints   alexa functionality  sound quality   device im  disappointed   hubs functionalities"
"1912","     commands sound  equal   regular echo    dont   smart hub   regular echo  sound  ok      bass    soundlink   mean hey  loud   treble  sounds "
"1913"," love  echo plus      spotify account    phone  phone calls    lights       importantly  reads story   children   love    makes  happy"
"1914","excellent  didnt       beginning  love "
"1915","bye bye philips hub  expensive monthly internet charge    little tinkering   rest  individual bulbs       philips hue bridge   responding  message"
"1916","  exactly  described  complaint    sometimes alexa  confused  smart home product names        change  stuff    chalk     inexperience  smart home stuff"
"1917"," love       music huge repertoire  choose "
"1918"," easy  hook  download  app   walks    setup"
"1919"," am  disappointed   product   tried  install   units  neither     successfully completed  hours  amazon technicians resetting      app didnt connect  echo plus   internet connection  tried using  application   phone  tablet    chromebook  luck     clean directions   application  probably sending    amazonmark    ready  prime time"
"1920"," behaved device   enjoy using"
"1921","easy setup  sound quality"
"1922","  love  hub feature"
"1923","  blast   love echo   learning   tricks  lots  fun  helpful "
"1924","love "
"1925"," sound quality    smart home devices"
"1926","        google home"
"1927","mic hears    understands  half   time   takes multiple tries     correct result"
"1928","nice add    homewhat  dont    limitations  example world soccer  wont    info  sport teams   american"
"1929","   little apprehensive  buying     reviews saying  sounds  crap im  audiophile   means  maybe       sounds  considering  size  fills  living   sound   pretty loud  remaining   havent   issues pairing   devices  utilizing    voice commands    paired   ecobee  firestick   phillips hue light bulb  plan  adding devices     love    im glad  scooped          weeks  update   run  issues"
"1930"," love  echo plus   drawback      battery      plugged    times  makes  inconvenient    outdoors"
"1931"," device  grandkids   ball setting    "
"1932"," alexa  awesome    rcieved  light buld         adapter    light buld      aware    disappointed"
